1
0920,EMS,GENENG,107421,2030,1L01,1,UGRD,"ENGR MODELING AND DESIGN",1117,25,26,"Almquist,James",C,0,"EGH 0209 TTh 12:00 PM-12:52 PM; EGH 0229 TTh 12:00 PM-12:52 PM;"
0920,EMS,GENENG,107421,2030,1L03,1,UGRD,"ENGR MODELING AND DESIGN",1119,26,29,"Almquist,James",C,0,"EGH 0209 MW 11:00 AM-11:52 AM; EGH 0229 MW 11:00 AM-11:52 AM;"
0920,EMS,GENENG,104343,2130,01,1,UGRD,"ENGR MECHANICS-STATICS",1122,30,31,"Camacho,Jorge",C,3,"OTT 0124 MWF 08:00 AM-08:52 AM;"
0920,EMS,GENENG,104345,2230,01,1,UGRD,"ENGR MECHANICS/DYNAMICS",1130,30,36,"Kobayashi,Hirohito",C,3,"OTT 0124 MWF 09:00 AM-09:52 AM;"
0920,EMS,GENENG,104345,2230,02,1,UGRD,"ENGR MECHANICS/DYNAMICS",1131,30,36,"Kobayashi,Hirohito",C,3,"OTT 0124 MWF 01:00 PM-01:52 PM;"
0920,EMS,GENENG,104346,2340,04,1,UGRD,"MECH OF MATERIALS",1135,30,32,"Enz,Daniel L",C,4,"EGH 0137 MWF 01:00 PM-01:52 PM;"
0920,EMS,GENENG,104343,2130,04,1,UGRD,"ENGR MECHANICS-STATICS",1125,30,32,"Masoom,Abulkhair",C,3,"OTT 0103 MWF 11:00 AM-11:52 AM;"
0920,EMS,GENENG,104346,2340,03,1,UGRD,"MECH OF MATERIALS",1134,30,32,"Enz,Daniel L",C,4,"EGH 0137 MWF 12:00 PM-12:52 PM;"
0920,EMS,GENENG,104346,2340,1L02,1,UGRD,"MECH OF MATERIALS",1137,30,34,"Roy,Bidhan",C,0,"EGH 0137 T 10:00 AM-11:52 AM;"
0920,EMS,GENENG,104346,2340,1L04,1,UGRD,"MECH OF MATERIALS",1139,30,32,"Enz,Daniel L",C,0,"EGH 0137 Th 02:00 PM-03:52 PM;"
0920,EMS,GENENG,104347,2630,01,1,UGRD,"BASIC THERMOSCI ENGR",1140,30,29,"Roy,Bidhan",O,3,"EGH 0107 MWF 11:00 AM-11:52 AM;"
0920,EMS,GENENG,104348,2820,01,1,UGRD,"ENGINEERING ECONOMY",1142,35,36,"Clough,Jill M",C,2,"EGH 0115 MW 09:00 AM-09:52 AM;"
0920,EMS,GENENG,104348,2820,02,1,UGRD,"ENGINEERING ECONOMY",1143,35,35,"Balachandran,Swaminat",C,2,"EGH 0115 TTh 11:00 AM-11:52 AM;"
0920,EMS,GENENG,104349,2930,02,1,UGRD,"APPL OF ELECTRICAL ENGR",1148,30,29,"Stanojev,Igor",O,3,"OTT 0103 TTh 12:30 PM-01:48 PM;"
0920,BILSA,INDUSTDY,105350,1030,2L01,1,UGRD,"INTRO TO MANUFACTURING",1154,25,24,"Steck,Francis X.",O,0,"RUS 0001 W 01:00 PM-02:52 PM;"
0920,BILSA,INDUSTDY,103467,1130,02,1,UGRD,"WOOD TECHNOLOGY",1156,18,18,"Rimel,Eric",C,3,"RUS 0104 W 02:00 PM-03:52 PM;"
0920,BILSA,INDUSTDY,103467,1130,1L01,1,UGRD,"WOOD TECHNOLOGY",1157,18,19,"Steck,Francis X.",C,0,"RUS 0015 T 04:00 PM-05:52 PM;"
0920,BILSA,INDUSTDY,103467,1130,1L02,1,UGRD,"WOOD TECHNOLOGY",1158,18,18,"Rimel,Eric",C,0,"RUS 0015 W 04:00 PM-05:52 PM;"
0920,BILSA,INDUSTDY,103468,1200,01,1,UGRD,"AC/DC FUNDAMENTALS",1159,20,20,"Huang,Chun-Hui",C,3,"RUS 0104 T 08:00 AM-09:52 AM;"
0920,BILSA,INDUSTDY,103468,1200,02,1,UGRD,"AC/DC FUNDAMENTALS",1160,20,21,"Huang,Chun-Hui",C,3,"RUS 0104 T 02:00 PM-03:52 PM;"
0920,BILSA,INDUSTDY,103468,1200,1L01,1,UGRD,"AC/DC FUNDAMENTALS",1161,20,20,"Huang,Chun-Hui",C,0,"RUS 0104 Th 08:00 AM-09:52 AM;"
0920,BILSA,INDUSTDY,103468,1200,1L02,1,UGRD,"AC/DC FUNDAMENTALS",1162,20,21,"Huang,Chun-Hui",C,0,"RUS 0104 Th 02:00 PM-03:52 PM;"
0920,BILSA,INDUSTDY,103470,1230,01,1,UGRD,"TECHNICAL DRAFTING",1163,30,27,"Kaiser,Colleen R",O,3,"RUS 0003 M 02:00 PM-03:52 PM;"
0920,BILSA,INDUSTDY,103470,1230,1L01,1,UGRD,"TECHNICAL DRAFTING",1164,30,27,"Kaiser,Colleen R",O,0,"RUS 0003 W 02:00 PM-03:52 PM;"
0920,BILSA,INDUSTDY,107095,1260,01,1,UGRD,"BUILDING CONSTRUCTION DRAFTING",1165,30,13,"Smidt,Warner K.",O,3,"RUS 0001 M 03:00 PM-04:52 PM;"
0920,BILSA,MEDIA,106143,1030,02,5W2,UGRD,"MEDIA TECH I (IMAGE MANIPULAT)",1003,24,24,"Yunck,Steve",C,1,"RUS 0106 TTh 09:30 AM-10:48 AM;"
0920,BILSA,MEDIA,103194,1230,01,1,UGRD,"VISUAL COMMUNICATION",1011,35,34,"Chen,Hao",O,3,"RUS 0120 TTh 08:00 AM-09:18 AM;"
0920,BILSA,MEDIA,103200,1630,03,1,UGRD,"INTRO TO MASS MEDIA",1015,35,30,"Swope,Stephen",O,3,"RUS 0120 TTh 09:30 AM-10:48 AM;"
0920,BILSA,MEDIA,103205,2030,1L01,1,UGRD,"BASIC NEWSWRITING & REPORTING",1021,22,17,"Swanberg,Wendy",O,0,"RUS 0101B W 09:00 AM-11:52 AM;"
0920,BILSA,MEDIA,103227,3010,01,1,UGRD,"BUSINESS COMMUNICATION",1026,24,24,"Swope,Stephen",C,3,"RUS 0101B MWF 12:00 PM-12:52 PM;"
0920,BILSA,INDUSTDY,103495,2430,1L01,1,UGRD,"BUILDING CONSTRUCTION MATLS",1182,30,30,"Albers,Mark B",C,0,"RUS 0003 Th 08:00 AM-09:52 AM;"
0920,BILSA,INDUSTDY,103503,2710,01,1,UGRD,"PRINCIPLES OF SAFETY",1185,35,36,"Weasler,Adam Matthew",C,3,"EGH 0336 MWF 01:00 PM-01:52 PM;"
0920,BILSA,INDUSTDY,103503,2710,02,1,UGRD,"PRINCIPLES OF SAFETY",1186,35,33,"Weasler,Adam Matthew",O,3,"EGH 0336 MWF 02:00 PM-02:52 PM;"
0920,BILSA,INDUSTDY,103519,3140,2L01,1,UGRD,"GEN CONSTRUCTION ESTIMATING",1190,20,13,"Novak,Ryan A.",O,0,"RUS 0001 TTh 08:00 AM-09:52 AM;"
0920,BILSA,INDUSTDY,103520,3150,1L01,1,UGRD,"POLYMERIC AND CERAMIC MATLS",1192,24,26,"Tabrizi,Majid",C,0,"RUS 0013 W 02:00 PM-03:52 PM;"
0920,BILSA,INDUSTDY,103521,3210,1L01,1,UGRD,"CONSTRUCTION LABORATORY",1196,14,17,"Albers,Mark B",C,0,"RUS 0005 MW 02:00 PM-04:52 PM;"
0920,BILSA,INDUSTDY,103521,3210,1L02,1,UGRD,"CONSTRUCTION LABORATORY",1197,14,13,"Albers,Mark B",O,0,"RUS 0015 TTh 02:00 PM-04:52 PM;"
0920,BILSA,INDUSTDY,103522,3220,1L01,1,UGRD,"CONSTRUCTION PROCEDURES",1199,28,17,"Smidt,Warner K.",O,0,"RUS 0001 Th 02:00 PM-03:52 PM;"
0920,BILSA,INDUSTDY,107096,3460,1L01,1,UGRD,"3D INDUSTRIAL PRODUCTION DRAFT",1203,24,27,"Rimel,Eric",C,0,"RUS 0003 Th 12:00 PM-01:52 PM;"
0920,BILSA,INDUSTDY,103532,3480,01,1,UGRD,"METALCASTING TECHNOLOGY I",1204,16,16,"Metzloff,Kyle",C,3,"RUS 0003 W 06:00 PM-07:52 PM;"
0920,BILSA,INDUSTDY,107095,1260,1L01,1,UGRD,"BUILDING CONSTRUCTION DRAFTING",1167,30,13,"Smidt,Warner K.",O,0,"RUS 0001 W 03:00 PM-04:52 PM;"
0920,BILSA,INDUSTDY,107095,1260,1L02,1,UGRD,"BUILDING CONSTRUCTION DRAFTING",1168,27,26,"Shelstrom,Marc",O,0,"RUS 0003 W 08:00 AM-09:52 AM;"
0920,BILSA,INDUSTDY,103476,1430,01,1,UGRD,"INTRO TO METALS PROCESSES",1169,18,19,"Metzloff,Kyle",C,3,"RUS 0013 T 08:00 AM-09:52 AM;"
0920,BILSA,INDUSTDY,103476,1430,02,1,UGRD,"INTRO TO METALS PROCESSES",1170,18,16,"Metzloff,Kyle",O,3,"RUS 0005 T 12:00 PM-01:52 PM;"
0920,BILSA,INDUSTDY,103476,1430,03,1,UGRD,"INTRO TO METALS PROCESSES",1171,18,18,"Rimel,Eric",C,3,"RUS 0005 T 10:00 AM-11:52 AM;"
0920,BILSA,INDUSTDY,103476,1430,1L01,1,UGRD,"INTRO TO METALS PROCESSES",1172,18,19,"Metzloff,Kyle",C,0,"RUS 0009 Th 08:00 AM-09:52 AM; RUS 0011 Th 08:00 AM-09:52 AM;"
0920,BILSA,INDUSTDY,103590,4840,01,1,UGRD,"CONSTRUCTION ADMINISTRATION",1239,24,22,"Novak,Ryan A.",O,3,"EGH 0336 TTh 02:00 PM-03:18 PM;"
0920,BILSA,INDUSTDY,103587,4810,01,1,UGRD,"FIRE PROTECTION",1240,27,26,"Weasler,Adam Matthew",O,3,"EGH 0336 MWF 11:00 AM-11:52 AM;"
0920,BILSA,INDUSTDY,103593,4870,01,1,UGRD,"EXTRUSION TECHNOLOGY",1241,0,0,"",C,3,"TBA"
